Country;WHO Region;Cases;Total Confirmed Cases;Total Probable Cases;Total Deaths
Andorra;European Region;1-9;4;0;0
Argentina;Region of the Americas;1,000+;1129;0;2
Aruba;Region of the Americas;1-9;3;0;0
Australia;Western Pacific Region;100-499;145;0;0
Austria;European Region;100-499;328;0;0
Bahamas;Region of the Americas;1-9;2;0;0
Bahrain;Eastern Mediterranean Region;1-9;2;0;0
Barbados;Region of the Americas;1-9;1;0;0
Belgium;European Region;500-999;793;0;2
Benin;African Region;1-9;3;0;0
Bermuda;Region of the Americas;1-9;1;0;0
Bolivia (Plurinational State of);Region of the Americas;100-499;265;0;0
Bosnia and Herzegovina;European Region;1-9;9;0;0
Brazil;Region of the Americas;1,000+;10948;767;16
Bulgaria;European Region;1-9;6;0;0
Cameroon;African Region;10-99;29;0;3
Canada;Region of the Americas;1,000+;1496;79;0
Central African Republic;African Region;10-99;30;0;1
Chile;Region of the Americas;1,000+;1441;26;2
China;Western Pacific Region;;137;0;0
Colombia;Region of the Americas;;4090;0;0
Congo;African Region;;5;0;0
Costa Rica;Region of the Americas;;223;0;0
Croatia;European Region;;33;0;0
Cuba;Region of the Americas;;8;0;1
Curaçao;Region of the Americas;;3;0;0
Cyprus;European Region;;5;0;0
Czechia;European Region;;71;0;1
Democratic Republic of the Congo;African Region;;739;0;2
Denmark;European Region;;196;0;0
Dominican Republic;Region of the Americas;;52;1;0
Ecuador;Region of the Americas;;533;1;3
Egypt;Eastern Mediterranean Region;;3;0;0
El Salvador;Region of the Americas;;104;0;0
Estonia;European Region;;11;0;0
Finland;European Region;;42;0;0
France;European Region;;4146;0;0
Georgia;European Region;;2;0;0
Germany;European Region;;3691;0;0
Ghana;African Region;;127;0;4
Gibraltar;European Region;;6;0;0
Greece;European Region;;88;0;0
Greenland;European Region;;2;0;0
Guadeloupe;Region of the Americas;;1;0;0
Guam;Western Pacific Region;;1;0;0
Guatemala;Region of the Americas;;405;5;1
Guyana;Region of the Americas;;2;0;0
Honduras;Region of the Americas;;44;0;0
Hungary;European Region;;80;0;0
Iceland;European Region;;16;0;0
India;South-East Asia Region;;22;0;1
Indonesia;South-East Asia Region;;1;0;0
Iran (Islamic Republic of);Eastern Mediterranean Region;;1;0;0
Ireland;European Region;;229;0;0
Israel;European Region;;262;0;0
Italy;European Region;;957;0;0
Jamaica;Region of the Americas;;21;0;0
Japan;Western Pacific Region;;169;0;0
Jordan;Eastern Mediterranean Region;;1;0;0
Latvia;European Region;;6;0;0
Lebanon;Eastern Mediterranean Region;;27;0;0
Liberia;African Region;;13;0;0
Lithuania;European Region;;5;0;0
Luxembourg;European Region;;57;0;0
Malta;European Region;;34;0;0
Martinique;Region of the Americas;;7;0;0
Mexico;Region of the Americas;;4020;66;29
Monaco;European Region;;3;0;0
Montenegro;European Region;;2;0;0
Morocco;Eastern Mediterranean Region;;3;0;0
Mozambique;African Region;;1;0;1
Netherlands;European Region;;1264;0;0
New Caledonia;Western Pacific Region;;1;0;0
New Zealand;Western Pacific Region;;41;0;0
Nigeria;African Region;;842;0;9
Norway;European Region;;95;0;0
Pakistan;Eastern Mediterranean Region;;5;0;0
Panama;Region of the Americas;;235;0;1
Paraguay;Region of the Americas;;125;0;0
Peru;Region of the Americas;;3800;0;20
Philippines;Western Pacific Region;;5;0;0
Poland;European Region;;217;0;0
Portugal;European Region;;953;0;1
Puerto Rico;Region of the Americas;;211;150;0
Qatar;Eastern Mediterranean Region;;5;0;0
Republic of Korea;Western Pacific Region;;102;0;0
Republic of Moldova;European Region;;2;0;0
Romania;European Region;;47;0;0
Russian Federation;European Region;;2;0;0
Saint Martin;Region of the Americas;;1;0;0
San Marino;European Region;;1;0;0
Saudi Arabia;Eastern Mediterranean Region;;8;0;0
Serbia;European Region;;40;0;0
Singapore;Western Pacific Region;;25;0;0
Slovakia;European Region;;14;0;0
Slovenia;European Region;;47;0;0
South Africa;African Region;;5;0;0
Spain;European Region;;7556;0;3
Sri Lanka;South-East Asia Region;;2;0;0
Sudan;Eastern Mediterranean Region;;19;0;1
Sweden;European Region;;260;0;0
Switzerland;European Region;;552;0;0
Thailand;South-East Asia Region;;43;0;0
The United Kingdom;European Region;;3753;0;0
Türkiye;European Region;;12;0;0
Ukraine;European Region;;5;0;0
United Arab Emirates;Eastern Mediterranean Region;;16;0;0
United States of America;Region of the Americas;;30243;0;42
Uruguay;Region of the Americas;;19;0;0
Venezuela (Bolivarian Republic of);Region of the Americas;;12;0;0
Viet Nam;Western Pacific Region;;2;0;0